model,class,precision,recall,f1_score,support
TF-IDF + XGBoost,MT3,0.5905,0.6089,0.5996,450
TF-IDF + XGBoost,ST3,0.8251,0.8489,0.8368,450
TF-IDF + XGBoost,T0,0.9626,0.9733,0.968,450
TF-IDF + XGBoost,T1,0.9871,1.0,0.9935,229
TF-IDF + XGBoost,T2,0.9792,0.9038,0.94,52
TF-IDF + XGBoost,T4,0.9956,0.9978,0.9967,450
TF-IDF + XGBoost,VST3,0.9143,0.9505,0.932,101
TF-IDF + XGBoost,WT3,0.7488,0.6889,0.7176,450
AST + XGBoost,MT3,0.6928,0.7467,0.7187,450
AST + XGBoost,ST3,0.8592,0.9089,0.8834,450
AST + XGBoost,T0,0.633,0.5289,0.5763,450
AST + XGBoost,T1,0.9784,0.7904,0.8744,229
AST + XGBoost,T2,0.43,0.8269,0.5658,52
AST + XGBoost,T4,0.9758,0.9867,0.9812,450
AST + XGBoost,VST3,0.8191,0.7624,0.7897,101
AST + XGBoost,WT3,0.6898,0.7067,0.6981,450
Hybrid TF-IDF + AST + XGBoost,MT3,0.819634703196347,0.7977777777777778,0.8085585585585585,450
Hybrid TF-IDF + AST + XGBoost,ST3,0.8789808917197452,0.92,0.8990228013029316,450
Hybrid TF-IDF + AST + XGBoost,T0,0.9707865168539326,0.96,0.9653631284916201,450
Hybrid TF-IDF + AST + XGBoost,T1,0.9956331877729258,0.9956331877729258,0.9956331877729258,229
Hybrid TF-IDF + AST + XGBoost,T2,0.9803921568627451,0.9615384615384616,0.970873786407767,52
Hybrid TF-IDF + AST + XGBoost,T4,0.9933774834437086,1.0,0.9966777408637874,450
Hybrid TF-IDF + AST + XGBoost,VST3,0.9797979797979798,0.9603960396039604,0.97,101
Hybrid TF-IDF + AST + XGBoost,WT3,0.9035874439461884,0.8955555555555555,0.8995535714285714,450
