model,class,precision,recall,f1_score,support
TF-IDF + XGBoost,MT3,0.6043956043956044,0.6111111111111112,0.6077348066298343,450
TF-IDF + XGBoost,ST3,0.8067226890756303,0.8533333333333334,0.8293736501079914,450
TF-IDF + XGBoost,T0,0.9733333333333334,0.9733333333333334,0.9733333333333334,450
TF-IDF + XGBoost,T1,0.9913419913419913,1.0,0.9956521739130435,229
TF-IDF + XGBoost,T2,0.9791666666666666,0.9038461538461539,0.94,52
TF-IDF + XGBoost,VST3,0.9142857142857143,0.9504950495049505,0.9320388349514563,101
TF-IDF + XGBoost,WT3,0.7601918465227818,0.7044444444444444,0.7312572087658593,450
AST + XGBoost,MT3,0.6918238993710691,0.7333333333333333,0.7119741100323624,450
AST + XGBoost,ST3,0.8480492813141683,0.9177777777777778,0.8815368196371398,450
AST + XGBoost,T0,0.6308900523560209,0.5355555555555556,0.5793269230769231,450
AST + XGBoost,T1,0.9783783783783784,0.7903930131004366,0.8743961352657005,229
AST + XGBoost,T2,0.43,0.8269230769230769,0.5657894736842105,52
AST + XGBoost,VST3,0.8279569892473119,0.7623762376237624,0.7938144329896907,101
AST + XGBoost,WT3,0.6943231441048034,0.7066666666666667,0.7004405286343612,450
Hybrid TF-IDF + AST + XGBoost,MT3,0.8208616780045351,0.8044444444444444,0.8125701459034792,450
Hybrid TF-IDF + AST + XGBoost,ST3,0.8842105263157894,0.9333333333333333,0.9081081081081082,450
Hybrid TF-IDF + AST + XGBoost,T0,0.9646017699115044,0.9688888888888889,0.9667405764966741,450
Hybrid TF-IDF + AST + XGBoost,T1,0.9956331877729258,0.9956331877729258,0.9956331877729258,229
Hybrid TF-IDF + AST + XGBoost,T2,0.9803921568627451,0.9615384615384616,0.970873786407767,52
Hybrid TF-IDF + AST + XGBoost,VST3,0.98989898989899,0.9702970297029703,0.98,101
Hybrid TF-IDF + AST + XGBoost,WT3,0.9172413793103448,0.8866666666666667,0.9016949152542373,450
CodeBERT + XGBoost (post-hoc no T4),T0,0.8072805139186295,0.8377777777777777,0.8222464558342422,450
CodeBERT + XGBoost (post-hoc no T4),T1,1.0,1.0,1.0,229
CodeBERT + XGBoost (post-hoc no T4),T2,1.0,0.8846153846153846,0.9387755102040816,52
CodeBERT + XGBoost (post-hoc no T4),VST3,0.9306930693069307,0.9306930693069307,0.9306930693069307,101
CodeBERT + XGBoost (post-hoc no T4),ST3,0.8130252100840336,0.86,0.83585313174946,450
CodeBERT + XGBoost (post-hoc no T4),MT3,0.6279569892473118,0.6488888888888888,0.6382513661202186,450
CodeBERT + XGBoost (post-hoc no T4),WT3,0.7727272727272727,0.68,0.7234042553191491,450
